('EU TE CONHECER [PONTO]', '1S_CONHECER_2S [PONTO]')
('30 MARÇO 1967 IR REALIZAR SESSÃO FOTO COM COOPER QUE TAMBÉM PRODUZIR IMAGEM CONTRACAPA ENCARTAR QUAL MUSICÓLOGO IAN INGLIS ACREDITAR TRANSMITIR ÓBVIO IMEDIATO CALOR QUE DISTANCIAR ESTERILIDADE ARTIFICIALIDADE TÍPICO TAL IMAGEM PRODUZIR ESTÚDIO FOTOGRAFIA [PONTO] MCCARTNEY EXPLICAR COISA QUE MAIS NOS INTERESSAR AQUELES TEMPO SER MENSAGEM VISUAL ENTÃO SESSÃO PARA FOTO INTERNO MICHAEL COOPER NOS FALAR AGORA OLHAR PARA ESSE CÂMERA FALAR REAL EU TE AMOR [EXCLAMAÇÃO] FATO TENTAR SENTIR AMOR DAR AMOR ISSO [EXCLAMAÇÃO] IR DAR CERTO IR TRANSPARECER SER ATITUDE [PONTO] IR QUE ACONTECER SE VOCÊ OLHAR PARA ELA FOTO VOCÊ IR VER NOSSOS OLHO GRANDE ESFORÇO [PONTO] LUVA INTERNO ÁLBUM APRESENTAR ARTE COLETIVO NEERLANDÊS DESIGN GRÁFICO THE FOOL QUE EVITAR PRIMEIRA_VEZ USO PAPEL BRANCO COMUM FAVOR TIPO MATERIAL COM PADRÃO ABSTRATO ONDA CASTANHO VERMELHO ROSA BRANCO [PONTO]', 'DIA 30 MÊS MARÇO ANO_DATA 1967 REALIZADA SESSÃO FOTO COOPER TAMBÉM PRODUZIR IMAGEM CONTRA_CAPA ENCARTE MUSICÓLOGO IAN INGLIS ACREDITAR TRANSMITIR ÓBVIO IMEDIATO CALOR DISTANCIAR ESTERILIDADE ARTIFICIALIDADE TÍPICA IMAGEM PRODUZIR ESTÚDIO FOTOGRAFIA [PONTO] MCCARTNEY EXPLICAR MAIS_QUANTIDADE  INTERESSAR NAQUELE TEMPO_ÉPOCA MENSAGEM VISUAL SESSÃO FOTO INTERNA MICHAEL COOPER DIZER AGORA OLHAR_VER CÂMERA DIZER REAL EU AMAR [EXCLAMAÇÃO] SENTIR AMOR 1S_DAR_2S AMOR NISSO [EXCLAMAÇÃO] TRANSPARECER ATITUDE [PONTO] ACONTECER VOCÊ OLHAR_VER ELA FOTO VOCÊ VER NOSSO OLHO GRANDE ESFORÇO [PONTO] [PONTO] LUVA INTERNA ÁLBUM_FOTO APRESENTAR_MOSTRAR ARTE COLETIVO NEERLANDÊS DESIGN GRÁFICO THE FOOL EVITAR PRIMEIRO_ORDINAL USAR PAPEL BRANCO NORMAL FAVOR TIPO MATERIAL PADRÃO ABSTRATO ONDA CASTANHO VERMELHO ROSA BRANCO [PONTO]')
('ELE ME PERGUNTAR SOBRE MEU NOVO TRABALHO [PONTO]', 'ELE 3S_PERGUNTAR_1S  SOBRE_ASSUNTO MEU NOVO_RECENTE TRABALHO [PONTO]')
('ELES ME ENSINAR JURAR [PONTO]', 'ELES 2S_ENSINAR_1S JURAR [PONTO]')
('ELES ME DAR OUTRO AUMENTO [PONTO]', 'ELES 3S_DAR_1S OUTRO AUMENTO [PONTO]')
('ELES ME DAR QUE EU QUERER [PONTO]', 'ELES 3S_DAR_1S QUE QUERER [PONTO]')
('ESPERAR QUE ELE ME AJUDAR [PONTO]', 'ESPERAR 3S_AJUDAR_1S [PONTO]')
('EU TE DAR ESSE LIVRO [PONTO]', 'EU 1S_DAR_2S LIVRO VOCÊ [PONTO]')
('EU ME LIVRAR MEU ANTIGO BICICLETA [PONTO]', 'EU 1S_DAR_2S MINHA ANTIGA BICICLETA [PONTO]')
('EU ME PERGUNTAR SE TOM NOS AJUDAR [PONTO]', 'EU 1S_PERGUNTAR_2S TOM AJUDAR [PONTO]')
('SEU JUSTIFICAR IR EU ME MACHUCAR DURANTE MEU TEMPO SERVIÇO ENTÃO EU IR ME RECUPERAR DURANTE MEU TEMPO SERVIÇO [PONTO] LAKERS NÃO_APRESENTAR BOM RENDIMENTO PRIMEIROS 30 JOGO TEMPORADA FAZER 11 VÍRGULA 19 [PONTO] SHAQ TER MÉDIO 27 VÍRGULA 5 PONTO 57 VÍRGULA 4 APROVEITAMENTO 11 VÍRGULA 1 REBOTES 2 VÍRGULA 4 TOCOS 3 VÍRGULA 1 ASSISTÊNCIA DURANTE TEMPORADA REGULAR IR INCLUIR MELHOR QUINTETO NBA SEGUNDO MELHOR QUINTETO DEFENSIVO LIGA [PONTO]', 'JUSTIFICAR 2S_MACHUCAR_1S TEMPO_ÉPOCA SERVIÇO ENTÃO RECUPERAR TEMPO_ÉPOCA SERVIÇO MEU [PONTO] [PONTO] LAKERS NÃO_APRESENTAR BOM RENDIMENTO PRIMEIRO 30 JOGO TEMPORADA CONSEGUIR 11 ATÉ 19 [PONTO] SHAQ TER MÉDIA_NÍVEL 27 VÍRGULA 5 PONTO_MARCA 57 VÍRGULA 4 PORCENTAGEM APROVEITAR_UTILIZAR 11 VÍRGULA 1 REBOTE 2 VÍRGULA 4 TOCO 3 VÍRGULA 1 ASSISTÊNCIA TEMPORADA REGULAR INCLUIR MELHOR QUINTETO NBA SEGUNDO_SEQUÊNCIA MELHOR QUINTETO DEFENSIVO LIGA_GRUPO [PONTO]')
('QUERER QUE EU TE AJUDAR [INTERROGAÇÃO]', 'QUER 1S_AJUDAR_2S [INTERROGAÇÃO]')
